31 37 => 18 107
7 24 => 37 19
16 36 18 => 37 42
33 21 => 36 11
33 21 => 37 31
34 37 18 37 18 4 => 21 17
20 37 18 => 36 15
20 37 18 => 24 11
20 37 18 => 19 13
20 37 18 => 37 91
20 37 18 => 15 11
17 36 => 31 32
17 36 => 18 15
36 6 34 => 37 13
10 36 18 => 36 14
10 36 18 => 37 32
27 37 18 => 37 46
5 36 => 18 82
5 36 => 3 26
12 27 36 => 28 22
12 18 => 27 12
14 36 18 => 36 10
14 36 18 => 5 11
14 36 18 => 37 31
36 18 4 => 37 15
36 18 4 => 21 14
36 18 37 18 5 => 3 10
18 2 => 10 138
18 2 => 36 55
18 2 => 24 24
18 2 => 18 57
18 2 => 37 98
2 24 => 37 13
8 37 => 18 146
18 31 32 => 37 10
2 36 10 => 37 11
18 32 => 37 19
29 36 18 => 36 38
29 36 18 => 24 12
29 36 18 => 29 13
29 36 18 => 37 91
36 18 9 => 36 16
36 18 9 => 22 38
36 18 9 => 37 15
15 7 => 37 19
18 17 32 => 31 24
21 4 => 33 33
18 37 18 36 18 2 => 37 13
9 36 22 => 37 19
14 36 => 18 72
6 18 34 => 37 16
36 18 31 => 37 10
36 26 => 36 25
36 26 => 16 37
36 26 => 37 18
26 18 => 37 18
37 18 34 => 36 18
37 18 34 => 6 30
37 18 34 => 37 21
24 37 18 14 => 18 27
24 14 => 18 12
37 18 2 18 => 24 11
26 37 18 37 => 18 67
22 9 => 36 19
22 9 => 18 13
22 9 => 37 61
36 15 => 36 12
36 15 => 25 20
19 37 => 18 666
18 10 2 => 37 19
14 18 37 18 => 37 40
36 18 6 => 36 21
36 18 6 => 34 26
34 37 18 37 18 37 => 18 96
30 37 18 37 => 18 104
3 24 => 36 22
3 24 => 37 44
24 37 18 37 => 18 574
31 36 => 18 23
31 36 => 32 62
31 36 => 17 14
18 6 => 36 87
18 6 => 34 142
18 6 => 24 17
18 6 => 18 27
18 6 => 37 44
19 36 => 18 161
19 36 => 9 10
34 37 18 37 18 37 18 => 4 17
34 37 18 37 18 37 18 => 37 59
34 36 => 18 90
34 36 => 6 12
3 => 24 82
3 => 5 48
3 => 37 116
3 => 14 17
3 => 36 104
3 => 18 43
14 5 => 3 20
17 37 18 => 36 10
17 37 18 => 37 27
8 36 18 => 37 33
32 => 24 42
32 => 37 203
32 => 36 77
32 => 31 39
32 => 18 32
32 => 17 11
19 37 18 => 29 10
19 37 18 => 5 10
19 37 18 => 37 377
19 37 18 => 36 92
19 37 18 => 24 19
19 37 18 => 19 91
24 23 26 16 => 37 10
7 37 => 18 194
26 37 18 => 36 24
26 37 18 => 29 20
26 37 18 => 37 67
36 3 => 36 13
36 3 => 37 18
37 18 => 31 96
37 18 => 33 23
37 18 => 21 161
37 18 => 36 2587
37 18 => 34 85
37 18 => 17 231
37 18 => 23 206
37 18 => 16 46
37 18 => 28 61
37 18 => 4 258
37 18 => 29 827
37 18 => 32 24
37 18 => 11 54
37 18 => 14 404
37 18 => 3 100
37 18 => 2 230
37 18 => 9 308
37 18 => 5 234
37 18 => 12 248
37 18 => 25 36
37 18 => 37 15362
37 18 => 30 160
37 18 => 27 35
37 18 => 22 93
37 18 => 0 277
37 18 => 15 120
37 18 => 13 180
37 18 => 24 1628
37 18 => 6 193
37 18 => 19 786
37 18 => 7 47
37 18 => 10 112
37 18 => 8 21
37 18 => 26 100
37 18 => 20 36
11 37 18 => 36 13
11 37 18 => 19 10
11 37 18 => 37 68
34 24 => 36 11
34 24 => 37 19
36 18 24 => 36 35
36 18 24 => 18 26
36 18 24 => 37 96
36 18 24 => 9 10
18 24 26 => 16 30
36 34 => 36 28
36 34 => 37 63
37 18 37 18 37 18 => 27 16
37 18 37 18 37 18 => 10 19
37 18 37 18 37 18 => 21 47
37 18 37 18 37 18 => 36 855
37 18 37 18 37 18 => 34 28
37 18 37 18 37 18 => 17 82
37 18 37 18 37 18 => 23 64
37 18 37 18 37 18 => 0 82
37 18 37 18 37 18 => 28 15
37 18 37 18 37 18 => 4 88
37 18 37 18 37 18 => 24 554
37 18 37 18 37 18 => 16 14
37 18 37 18 37 18 => 11 10
37 18 37 18 37 18 => 14 142
37 18 37 18 37 18 => 5 49
37 18 37 18 37 18 => 9 101
37 18 37 18 37 18 => 12 99
37 18 37 18 37 18 => 37 5793
37 18 37 18 37 18 => 30 73
37 18 37 18 37 18 => 29 253
37 18 37 18 37 18 => 31 31
37 18 37 18 37 18 => 22 25
37 18 37 18 37 18 => 3 26
37 18 37 18 37 18 => 15 31
37 18 37 18 37 18 => 13 70
37 18 37 18 37 18 => 6 51
37 18 37 18 37 18 => 19 242
37 18 37 18 37 18 => 7 10
37 18 37 18 37 18 => 2 39
37 18 37 18 37 18 => 26 36
37 18 37 18 37 18 => 20 12
8 30 => 36 26
8 30 => 24 39
8 30 => 18 35
8 30 => 37 75
21 18 => 33 10
21 18 => 37 26
36 23 => 36 22
36 23 => 26 14
36 23 => 37 43
22 24 37 => 18 51
7 37 18 37 => 18 119
20 37 18 37 => 18 90
4 21 36 => 33 12
36 4 33 => 37 13
18 36 18 10 => 2 10
18 36 18 10 => 37 10
32 37 18 0 11 => 20 19
26 36 => 18 50
26 36 => 16 12
26 36 => 23 15
29 37 18 9 => 22 17
36 12 => 27 22
8 13 => 37 11
8 => 36 78
8 => 13 30
8 => 18 42
8 => 37 146
8 => 30 178
16 37 18 37 18 => 36 13
16 37 18 37 18 => 29 30
16 37 18 37 18 => 37 73
11 36 20 => 37 10
30 18 => 36 10
30 18 => 13 16
30 18 => 24 11
30 18 => 37 35
25 37 => 18 48
18 4 33 => 37 14
18 4 33 => 21 25
26 => 24 18
26 => 37 135
26 => 36 95
26 => 18 46
