source,target,value
36|9,18|36.9,0.5909090909
30|8.13.24,37|30,1
7|,36|7,0.1652173913
7|,18|7,0.0782608696
7|,15|,0.0405797101
7|,37|7,0.5797101449
7|,25|7,0.0608695652
7|,24|7,0.0753623188
18|37.18.37.34,4|18.37.18.37.34,0.156626506
18|37.18.37.34,37|18.37.18.37.34,0.578313253
18|37.18.37.34,24|18.37.18.37,0.1807228916
18|37.18.37.34,36|18.37.18,0.0843373494
18|37.18.37.19,37|18.37.18.37,0.7301587302
18|37.18.37.19,36|18.37.18,0.1142857143
18|37.18.37.19,19|,0.1555555556
28|,37|28,0.4850894632
28|,27|28,0.0576540755
28|,36|28,0.1610337972
28|,12|28,0.0536779324
28|,18|28,0.1371769384
28|,24|28,0.1053677932
11|0.24,36|11,0.3428571429
11|0.24,20|11.0.24,0.6571428571
21|,26|,0.0204359673
21|,33|21,0.272479564
21|,37|,0.2247956403
21|,4|21,0.0694822888
21|,18|21,0.0858310627
21|,24|,0.0258855586
21|,23|,0.0177111717
21|,36|21,0.2833787466
18|19,36|18,0.2112676056
18|19,37|18,0.6478873239
18|19,24|18,0.1408450704
2|,36|2,0.2016260163
2|,5|,0.0178861789
2|,10|2,0.2585365854
2|,37|2,0.325203252
2|,18|2,0.1430894309
2|,24|2,0.0536585366
28|27.12.24,37|28.27,1
26|23.24,16|26.23.24,1
18|37.18.36,36|18.37.18,0.1378531073
18|37.18.36,4|18,0.006779661
18|37.18.36,24|18.37.18,0.0587570621
18|37.18.36,30|18,0.0082862524
18|37.18.36,23|18.37.18,0.006779661
18|37.18.36,29|,0.0256120527
18|37.18.36,2|18.37,0.0071563089
18|37.18.36,3|18,0.0037664783
18|37.18.36,13|18.37,0.006779661
18|37.18.36,37|18.37,0.6222222222
18|37.18.36,17|18,0.0079096045
18|37.18.36,14|,0.0146892655
18|37.18.36,10|18,0.0052730697
18|37.18.36,21|18,0.0064030132
18|37.18.36,19|,0.0267419962
18|37.18.36,22|18,0.0075329567
