student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student34_Prompt6_1.0,1,1,1,4,1,0,1,0,16,3,0,3,0,3
student34_Integration3_1.0,1,1,2,3,0,0,0,1,11,0,0,4,0,0
student34_Prompt10_1.0,0,1,0,1,0,0,0,0,6,0,0,2,0,0
student35_Capstone_1.0,2,0,1,6,2,2,1,0,17,0,1,8,1,1
student35_Prompt8_1.0,4,1,1,2,2,0,0,0,11,0,0,5,0,0
student35_Prompt9_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
student35_Prompt3_1.0,0,0,0,1,0,0,0,0,4,0,0,1,0,0
student35_Prompt2_1.0,0,0,0,0,0,0,1,1,2,0,0,2,0,0
student35_Prompt6_1.0,0,0,0,1,0,0,0,0,5,0,0,1,0,0
student35_Integration3_1.0,2,3,4,8,1,0,3,5,27,2,2,13,5,3
student36_Prompt7_1.0,1,1,0,3,0,0,1,0,7,0,0,3,0,0
student36_Prompt2_1.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
student36_Prompt5_1.0,0,1,1,3,0,0,0,0,5,0,0,2,0,0
student36_Prompt8_1.0,0,0,0,4,2,0,1,2,6,2,0,4,0,4
student36_Prompt3_1.0,1,1,2,0,1,1,0,0,10,0,0,1,0,0
student36_Prompt4_1.0,1,0,0,1,0,0,0,2,5,0,0,1,1,0
student36_Prompt6_1.0,2,0,0,3,0,0,0,0,7,0,0,5,0,0
student36_Integration3_1.0,1,4,5,5,2,1,1,2,19,0,0,12,2,4
student36_Prompt10_1.0,0,0,1,2,1,0,0,0,2,0,0,0,1,0
student37_Capstone_1.0,12,0,8,6,0,0,0,0,13,0,1,6,0,0
student37_Prompt7_1.0,5,0,0,7,1,0,0,0,18,1,0,10,0,0
student37_Prompt5_1.0,0,1,1,1,0,0,0,0,5,0,0,4,1,1
student37_Prompt9_1.0,1,1,0,5,0,0,0,0,7,0,0,6,0,0
student37_Integration3_1.0,1,0,1,7,0,0,2,0,15,2,1,6,2,2
student37_Prompt8_0.8,0,0,0,1,1,0,1,1,3,1,0,4,1,3
student37_Prompt4_1.0,0,0,0,0,0,0,0,1,2,0,1,3,1,0
student37_Prompt10_1.0,1,1,2,4,0,0,0,0,7,0,0,5,4,0
student38_Prompt7_1.0,1,1,0,2,0,0,0,0,7,0,0,2,0,0
student38_Prompt5_1.0,0,1,1,1,0,0,0,0,8,0,0,1,0,0
